endpoint,role,term,coef,se,z,p,ci_lo,ci_hi,estimator,converged,re_var
coverage_score,objective-corroborating,"C(mode, Treatment('vector'))[T.graph]",0.02016611256996981,0.009296214276150589,2.169282244462234,0.03006126239549789,0.0019455325887146567,0.03838669255122497,MixedLM(REML),True,0.03405564766678956
coverage_score,objective-corroborating,"C(mode, Treatment('vector'))[T.hybrid]",0.024809035646892862,0.009296214276150589,2.668724591529734,0.00761398546742309,0.006588455665637708,0.04302961562814801,MixedLM(REML),True,0.03405564766678956
coverage_score,objective-corroborating,"C(model, Treatment('haiku'))[T.gpt]",-0.043120529502286085,0.00940108220453404,-4.586762307161777,4.501727064676331e-06,-0.061546650623172806,-0.024694408381399365,MixedLM(REML),True,0.03405564766678956
coverage_score,objective-corroborating,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",-0.06787676628817728,0.013223546968874256,-5.1330226638848435,2.851255573865785e-07,-0.09379491834717082,-0.04195861422918373,MixedLM(REML),True,0.03405564766678956
coverage_score,objective-corroborating,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.07802742923923642,0.013217955971750826,-5.9031388367456525,3.5664988740080616e-09,-0.10393462294386804,-0.0521202355346048,MixedLM(REML),True,0.03405564766678956
requirement_alignment,formal-manipulation-check,Intercept,4.6349453978159545,0.09166466386854837,50.56414546463285,0.0,4.4552826566335995,4.8146081389983095,"OLS cluster-robust (fallback, cluster=reqId, df=G-1)",True,0.0
requirement_alignment,formal-manipulation-check,"C(mode, Treatment('vector'))[T.graph]",0.28197767910716687,0.09224310874238609,3.0568969644623105,0.0022364113599566693,0.10118118597209014,0.4627741722422436,"OLS cluster-robust (fallback, cluster=reqId, df=G-1)",True,0.0
requirement_alignment,formal-manipulation-check,"C(mode, Treatment('vector'))[T.hybrid]",0.24659306372255302,0.09157129626716959,2.692907862777108,0.007083184047515179,0.06711332303890064,0.42607280440620543,"OLS cluster-robust (fallback, cluster=reqId, df=G-1)",True,0.0
requirement_alignment,formal-manipulation-check,"C(model, Treatment('haiku'))[T.gpt]",-0.43302232089289616,0.11359526888683243,-3.811974962833075,0.0001378608437307971,-0.6556690479110877,-0.21037559387470461,"OLS cluster-robust (fallback, cluster=reqId, df=G-1)",True,0.0
requirement_alignment,formal-manipulation-check,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",-0.00815740704746325,0.12904724815319046,-0.06321256101315458,0.9495972425424017,-0.26109001342771654,0.24477519933279002,"OLS cluster-robust (fallback, cluster=reqId, df=G-1)",True,0.0
requirement_alignment,formal-manipulation-check,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.14789308768612278,0.1278206962242326,-1.1570355353617985,0.24725784230996295,-0.39842165228561865,0.10263547691337307,"OLS cluster-robust (fallback, cluster=reqId, df=G-1)",True,0.0
gherkin_quality,formal-manipulation-check,Intercept,4.968237329183701,0.0225006025996215,220.8046343286502,0.0,4.924136148088443,5.012338510278959,MixedLM(REML),True,0.013619067336313389
gherkin_quality,formal-manipulation-check,"C(mode, Treatment('vector'))[T.graph]",0.005608824662475161,0.024265930350908033,0.2311398978471591,0.8172061202151939,-0.041952398825304583,0.05317004815025491,MixedLM(REML),True,0.013619067336313389
gherkin_quality,formal-manipulation-check,"C(mode, Treatment('vector'))[T.hybrid]",0.013301132354783026,0.02426593035090804,0.548140218093278,0.583595627010149,-0.03426009113299673,0.06086235584256279,MixedLM(REML),True,0.013619067336313389
gherkin_quality,formal-manipulation-check,"C(model, Treatment('haiku'))[T.gpt]",-0.22136571610862532,0.02453495396206393,-9.022463072516953,0.0,-0.26945422587427065,-0.17327720634298002,MixedLM(REML),True,0.013619067336313389
gherkin_quality,formal-manipulation-check,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",0.05275839369382006,0.03451556280722531,1.5285392849736725,0.12637869746200492,-0.014892109408341542,0.12040889679598166,MixedLM(REML),True,0.013619067336313389
gherkin_quality,formal-manipulation-check,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.026381412383200558,0.03449985528974203,-0.7646818272610157,0.44446103008091997,-0.09400112875109494,0.041238303984693817,MixedLM(REML),True,0.013619067336313389
executability,formal-manipulation-check,Intercept,4.837745327479851,0.06400781913603094,75.58053676533736,0.0,4.712290001973231,4.963200652986472,MixedLM(REML),True,0.1654214087168705
executability,formal-manipulation-check,"C(mode, Treatment('vector'))[T.graph]",-0.04851455824903342,0.055491194341465766,-0.8742748975720088,0.38196856633605125,-0.15727729915830632,0.060248182660239485,MixedLM(REML),True,0.1654214087168705
executability,formal-manipulation-check,"C(mode, Treatment('vector'))[T.hybrid]",0.04687005713558221,0.05549119434146577,0.8446395449189058,0.39831212282649964,-0.061892683773690706,0.15563279804485514,MixedLM(REML),True,0.1654214087168705
executability,formal-manipulation-check,"C(model, Treatment('haiku'))[T.gpt]",-0.7708461713544807,0.056112217561822275,-13.737581668469833,0.0,-0.8808261177756525,-0.660866224933309,MixedLM(REML),True,0.1654214087168705
executability,formal-manipulation-check,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",-0.0581118333546401,0.07893228320501491,-0.7362238997154462,0.4615944498239224,-0.2128191084364693,0.09659544172718912,MixedLM(REML),True,0.1654214087168705
executability,formal-manipulation-check,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.12861680565854286,0.07889774628907585,-1.6301708440099143,0.10306539418376559,-0.28325638838513156,0.026022777068045816,MixedLM(REML),True,0.1654214087168705
